                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1644,                0.75924,                 1.1225,                0.90696,                0.76158,                0.83678,                0.45289,                 1.5965,                 1.0481,                 1.3513,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.1866,                0.73774,                  1.118,                 0.7831,                   0.75,                0.79147,                0.41945,                 1.6609,                 1.0967,                 1.4435,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.1667,                0.70978,                 1.1408,                0.81849,                   0.75,                0.76246,                0.39612,                  1.667,                 1.0991,                 1.4418,              0.0014357,              0.0014357,              0.0014357
                     60,                  1.161,                0.74354,                    1.1,                 0.8491,                0.73438,                0.79243,                0.42127,                 1.5734,                0.98939,                 1.3474,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.1718,                0.72272,                 1.0922,                0.87764,                0.78455,                0.82845,                0.42056,                  1.635,                0.98885,                 1.4074,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.1441,                0.72454,                 1.0901,                0.79273,                 0.6875,                 0.7751,                0.39505,                 1.5334,                  1.067,                 1.3762,               0.001406,               0.001406,               0.001406
                     63,                 1.0701,                0.69968,                 1.0774,                0.76531,                0.82812,                0.83184,                0.45912,                 1.4467,                0.97833,                 1.3171,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.0722,                0.70551,                 1.0659,                0.81843,                 0.8125,                0.86288,                0.42565,                 1.5871,                 1.0519,                 1.2993,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.0997,                 0.6697,                 1.0877,                0.74747,                0.79688,                0.81858,                0.43444,                 1.6125,                 1.0557,                 1.3491,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.0838,                 0.6666,                  1.072,                0.81943,                0.70914,                0.79054,                0.43111,                 1.6058,                 1.0646,                 1.3868,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.0174,                0.67149,                 1.0531,                0.80825,                0.70312,                 0.7742,                0.42555,                 1.6122,                 1.0439,                 1.4034,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.1217,                 0.6717,                 1.0937,                 0.8171,                0.65625,                0.73565,                0.36526,                 1.8674,                 1.1741,                 1.5081,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.0799,                0.66083,                 1.0454,                0.84774,                0.69602,                0.78442,                0.44232,                 1.5228,                 1.1845,                 1.3619,              0.0013367,              0.0013367,              0.0013367
